ID,Name,Country,Date of birth,Place of birth,Gold,Silver,Bronze,Event
69,Luz Mercedes Acosta Valdez,Mexico,12/22/1980,Sonora,0,0,0,Women's 63kg
70,Amy Acuff,USA,7/14/1975,Port Arthur,0,0,0,Women's High Jump
71,Crox Acuna Rodriguez,Venezuela,6/23/1990,Maracay,0,0,0,Men's 4x100m Freestyle Relay
72,Mariko Adachi,Japan,7/21/1983,HIRAKATA,0,0,0,Women's Triathlon
73,Yumi Adachi,Japan,2/7/1989,Saitama,0,0,0,Women's Teams
74,Idrissa Adam,Cameroon,12/28/1984,GAROUA (CMR),0,0,0,Men's 100m
75,Tomasz Adamiec,Poland,4/13/1982,HAJNOWKA,0,0,0,Men's -73kg
76,Antoine Adams,SaintKittsNevis,8/31/1988,Basseterre (SKN),0,0,0,"Men's 100m, Men's 200m, Men's 4 x 100m Relay"
77,Cammile Adams,USA,9/11/1991,Houston,0,0,0,Women's 200m Butterfly
78,Luke Adams,Australia,10/22/1976,MVUMI (TAN),0,0,0,Men's 50km Race Walk
79,Lyukman Adams,Russia,9/24/1988,Leningrad,0,0,0,Men's Triple Jump
80,Nicola Adams,GreatBritain,10/26/1982,,0,0,0,Women's Fly (51kg)
81,Valerie Adams,NewZealand,10/6/1984,Rotorua (NZL),0,0,0,Women's Shot Put
82,Filip Adamski,Germany,1/5/1983,,1,0,0,Men's Eight
83,Jakub Adamski,Poland,11/11/1987,GORZOW WIELKOPOLSKI,0,0,0,Men's 4 x 100m Relay
84,Chris Adcock,GreatBritain,4/27/1989,Leicester,0,0,0,Mixed Doubles
85,Jangy Addy,Liberia,2/3/1985,Monrovia (LBR),0,0,0,Men's Decathlon
86,Abrar Osman Adem,Eritrea,1/1/1994,ADI SHIMAGLE (ERI),0,0,0,Men's 5000m
87,Margaret Adeoye,GreatBritain,4/22/1985,Lagos (NGR),0,0,0,Women's 200m
88,Seun Adigun,Nigeria,1/3/1987,ILLINOIS,0,0,0,Women's 100m Hurdles
89,Jonna Adlerteg,Sweden,6/6/1995,Vasteras (SWE),0,0,0,Women's Qualification
90,Rebecca Adlington,GreatBritain,2/17/1989,Mansfield,0,0,1,"Women's 400m Freestyle, Women's 800m Freestyle"
91,Nathan Adrian,USA,12/7/1988,Bremerton,1,1,0,"Men's 100m Freestyle, Men's 4x100m Freestyle Relay"
92,Jasper Aerents,Belgium,12/18/1992,Gent (BEL),0,0,0,"Men's 50m Freestyle, Men's 4x100m Freestyle Relay"
93,Sara Aerts,Belgium,1/25/1984,Turnhout (BEL),0,0,0,Women's Heptathlon
94,Kseniia Afanaseva,Russia,9/13/1991,Tula,0,1,0,"Women's Team, Women's Qualification"
95,Francois Affolter,Switzerland,3/13/1991,,0,0,0,Men's Football
96,Alvaro Affonso de Miranda Neto,Brazil,2/5/1973,Sao Paulo (BRA),0,0,0,"Individual Jumping, Team Jumping, RAHMANNSHOF'S BOGENO"
97,Christos Afroudakis,Greece,5/23/1984,Athína (GRE),0,0,0,Men's Water Polo
98,Georgios Afroudakis,Greece,10/17/1976,Athína (GRE),0,0,0,Men's Water Polo
99,Dragos Agache,Romania,3/8/1984,Braila,0,0,0,Men's 100m Breaststroke
100,Alphonsine Agahozo,Rwanda,7/18/1996,NYARUGENGE,0,0,0,Women's 50m Freestyle
101,Luca Agamennoni,Italy,8/8/1980,,0,0,0,Men's Four
102,Mawussi Agbetoglo,Togo,12/24/1993,AGOME,0,0,0,Men's Singles
103,Marilyn Agliotti,Netherlands,6/23/1979,BOKSBURG (RSA),0,0,0,Women's Hockey
104,Yannick Agnel,France,6/9/1992,Nimes,2,1,0,"Men's 100m Freestyle, Men's 200m Freestyle, Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay, Men's 4x100m Medley Relay"
105,Anna Agrafioti,Greece,4/10/1991,CHOLARGOS (GRE),0,0,0,Women's Laser Radial
106,Ulrika Agren,Sweden,7/13/1987,,0,0,0,Women's Handball
107,Renzo Agresta,Brazil,6/27/1985,,0,0,0,Men's Individual Sabre
108,Mayra Aguiar,Brazil,8/3/1991,Porto Alegre (BRA),0,0,1,Women's -78kg
109,Alberto Aguilar,Venezuela,3/9/1985,SAN FEERNANDO,0,0,0,Men's 4 x 400m Relay
110,Alessandra Aguilar,Spain,7/1/1978,Lugo (ESP),0,0,0,Women's Marathon
111,Sandra Aguilar,Spain,8/9/1992,Madrid (ESP),0,0,0,Group All-Around
112,Macarena Aguilar Diaz,Spain,3/12/1985,,0,0,0,Women's Handball
113,Inaki Aguilar Vicente,Spain,9/9/1983,Barcelona (ESP),0,0,0,Men's Water Polo
114,Julen Aguinagalde Akizu,Spain,12/2/1982,,0,0,0,Men's Handball
115,Jeinkler Aguirre,Cuba,6/14/1990,Camaguey (CUB),0,0,0,"Men's 10m Platform, Men's Synchronised 10m Platform"
116,Marcelo Aguirre,Paraguay,1/21/1993,ASUNCION (PAR),0,0,0,Men's Singles
117,Matias Aguirregaray,Uruguay,4/1/1989,,0,0,0,Men's Football
118,Mikel Aguirrezabalaga Garcia,Spain,4/8/1984,,0,0,0,Men's Handball
119,Feta Ahamada,Comoros,6/24/1987,CLICHY,0,0,0,Women's 100m
120,Johanna Ahlm,Sweden,10/3/1987,,0,0,0,Women's Handball
121,Christian Ahlmann,Germany,12/17/1974,MARL,0,0,0,"Individual Jumping, Team Jumping, CODEX ONE"
122,Tontowi Ahmad,Indonesia,7/18/1987,BANYUMAS,0,0,0,Mixed Doubles
123,Waseem Ahmad,Pakistan,4/10/1977,,0,0,0,Men's Hockey
124,Elaheh Ahmadi,Iran,5/31/1982,Tehran (IRI),0,0,0,"Women's 10m Air Rifle, Women's 50m Rifle 3 Positions"
125,Emin Ahmadov,Azerbaijan,10/6/1986,Baku (AZE),0,0,0,Men's 74kg Greco-Roman
126,Abdelrahman Ahmed,Egypt,10/7/1988,Cairo,0,0,0,Men's -80kg
127,Abdou Omar Abdou Ahmed,Egypt,2/22/1989,SUEZ,0,0,0,Men's 66kg Freestyle
128,Ahmed Abdulkareem Ahmed,Iraq,4/28/1992,BAGHDAD (IRQ),0,0,0,Men's Welter (69kg)
129,Azneem Ahmed,Maldives,1/1/1989,HDH.KULHUDHUFFUSHI (MDV),0,0,0,Men's 100m
130,Esmat Ahmed,Egypt,11/20/1986,ALEX,0,0,0,Women's 69kg
131,Fareed Ahmed,Pakistan,4/28/1989,,0,0,0,Men's Hockey
132,Mohammed Ahmed,Canada,1/5/1991,Mogadishu (SOM),0,0,0,"Men's 10,000m"
133,Shehab Ahmed,Egypt,8/22/1990,,0,0,0,Men's Football
134,Odile Ahouanwanou,Benin,1/5/1991,SAVALOU (BEN),0,0,0,Women's 100m Hurdles
135,Murielle Ahoure,CoteIvoire,8/23/1987,Abidjan (CIV),0,0,0,"Women's 100m, Women's 200m"
136,Gaby Diana Ahrens,Namibia,3/15/1981,Windhoek (NAM),0,0,0,Women's Trap
137,Mohammad Ahsan,Indonesia,9/7/1987,PALEMBANG,0,0,0,Men's Doubles
138,Johannes Ahun,Estonia,12/22/1987,Tallinn (EST),0,0,0,Men's RS-X
139,Michelle-Lee Ahye,TrinidadTobago,4/10/1992,Port of Spain (TRI),0,0,0,"Women's 100m, Women's 4 x 100m Relay"
140,Matteo Aicardi,Italy,4/19/1986,FINALE LIGURE,0,0,0,Men's Water Polo
141,Neringa Aidietyte,Lithuania,6/5/1983,Vilnius (LTU),0,0,0,Women's 20km Race Walk
142,Hannes Aigner,Germany,3/19/1989,Augsburg,0,0,1,Men's Kayak (K1)
143,Ben Ainslie,GreatBritain,2/5/1977,Macclesfield,0,0,0,Men's Finn
144,Tassadit Aissou,Algeria,6/19/1989,,0,0,0,Women's Volleyball
145,Souad Ait Salem,Algeria,1/6/1979,MECHERIA NAAMA (ALG),0,0,0,Women's Marathon
146,Gulnafis Aitmukhambetova,Kazakhstan,2/2/1988,Atyrau (KAZ),0,0,0,Women's -67kg
147,Marina Aitova,Kazakhstan,9/13/1982,Almaty (KAZ),0,0,0,Women's High Jump
148,Henriette Akaba Edoa,Cameroon,6/7/1992,,0,0,0,Women's Football
149,Muideen Akanji,Nigeria,5/12/1992,Lagos (NGR),0,0,0,Men's Middle (75kg)
150,Tolga Akcayli,StVincenttheGrenadines,4/15/1993,United Kingdom,0,0,0,Men's 50m Freestyle
151,Tarik Langat Akdag,Turkey,6/16/1988,Nandi (KEN),0,0,0,Men's 3000m Steeplechase
152,Ahmet Akdilek,Turkey,3/10/1988,KARAMAN (TUR),0,0,0,"Men's Individual Time Trial, Men's Road Race"
153,Taha Akgul,Turkey,11/22/1990,Sivas (TUR),0,0,0,Men's 120kg Freestyle
154,Habibollah Jomeh Akhlaghi,Iran,8/3/1985,ANDIMESHK (IRI),0,0,0,Men's 84kg Greco-Roman
155,Artur Akhmatkhuzin,Russia,5/21/1988,,0,0,0,"Men's Individual Foil, Men's Team Foil"
156,Esther Akihary,Netherlands,4/14/1987,VEENENDAAL (NED),0,0,0,Women's 4 x 100m Relay
157,Ozge Akin-Gurler,Turkey,6/17/1985,AKHISAR (TUR),0,0,0,Women's 4 x 400m Relay
158,Foluke Akinradewo,USA,10/5/1987,London (CAN),0,0,0,Women's Volleyball
159,Jonathan Akinyemi,Nigeria,11/22/1988,WARRINGTON,0,0,0,Men's Kayak (K1)
160,Khadzhimurat Akkaev,Russia,3/27/1985,TURNAUZ,0,0,0,Men's 105kg
161,Malika Akkaoui,Morocco,12/25/1987,ZAIDA (MAR),0,0,0,Women's 800m
162,Adnan Taess Akkar,Iraq,3/24/1980,WASSIT (IRQ),0,0,0,Men's 800m
163,Youssef Akrout,Tunisia,11/15/1990,Tunis (TUN),0,0,0,Men's Laser
164,Chie Akutsu,Japan,9/15/1984,IMAICHI,0,0,0,Women's Hockey
165,Noah Akwu,Nigeria,9/23/1990,Enugu (NGR),0,0,0,Men's 200m
166,Ahmed Ali Al Abri,Emirates,1/28/1990,,0,0,0,Men's Football
167,Noor Amer Al Ameri,Iraq,1/12/1994,KARBALA (IRQ),0,0,0,Women's 10m Air Pistol
168,Omar Abdulrahman Al Amoudi,Emirates,9/20/1991,,0,0,0,Men's Football
169,Abdulaziz Hussain Al Balooshi,Emirates,9/10/1990,,0,0,0,Men's Football
170,Mubarak Al Besher,Emirates,7/15/1988,DUBAI (UAE),0,0,0,Men's 100m Breaststroke
171,Ramzy Al Duhami,SaudiArabia,1/5/1972,Riyadh (KSA),0,0,0,"Individual Jumping, Team Jumping, BAYARD VAN DE VILLA THERE"
172,Rashed Eisa Al Falasi,Emirates,8/24/1990,,0,0,0,Men's Football
173,Habib Fardan Al Fardan,Emirates,11/11/1990,,0,0,0,Men's Football
174,Bahaa Al Farra,Palestine,3/10/1991,KHAN YOUNIS (PLE),0,0,0,Men's 400m
175,Ali Mabkhout Al Hajeri,Emirates,10/5/1990,,0,0,0,Men's Football
176,Bahya Mansour Al Hamad,Qatar,6/21/1992,Qatar (QAT),0,0,0,"Women's 10m Air Rifle, Women's 50m Rifle 3 Positions"
177,Amer Abdulrahman Al Hammadi,Emirates,7/3/1989,,0,0,0,Men's Football
178,Ismail Al Hammadi,Emirates,7/1/1988,,0,0,0,Men's Football
179,Ahmed Al Hatmi,Oman,11/27/1984,AL RUSTAQ (OMA),0,0,0,Men's Double Trap
180,Ismaeil Matar Al Jneibi,Emirates,4/7/1983,,0,0,0,Men's Football
181,Ahmed Khalil Al Junaibi,Emirates,6/8/1991,,0,0,0,Men's Football
182,Dawoud Sulaiman Al Quiwaitaei,Emirates,3/21/1990,,0,0,0,Men's Football
183,Hrh Prince Abdullah Al Saud,SaudiArabia,10/13/1984,London,0,0,0,"Individual Jumping, Team Jumping, DAVOS"
184,Ali Ahmed Al-Amri,SaudiArabia,1/29/1985,Taïf (KSA),0,0,0,Men's 3000m Steeplechase
185,Rashid Al-Athba,Qatar,8/18/1980,Qatar (QAT),0,0,0,"Men's Trap, Men's Double Trap"
186,Nasser Al-Attiya,Qatar,12/21/1970,Qatar (QAT),0,0,1,Men's Skeet
187,Mohammad Al-Azemi,Kuwait,6/16/1982,KUWAIT (KUW),0,0,0,Men's 800m
188,Mohanad Ahmed Dheyaa Al-Azzawi,Iraq,9/21/1996,BAGHDAD (IRQ),0,0,0,Men's 100m Butterfly
189,Sultan Mubarak Al-Dawoodi,SaudiArabia,6/16/1977,Bisha (KSA),0,0,0,Men's Discus Throw
190,Mostafa Al-Gamel,Egypt,10/1/1988,GEIZA,0,0,0,Men's Hammer Throw
191,Nabil Mohammed Al-Garbi,Yemen,11/3/1993,DHAMAR (YEM),0,0,0,Men's 1500m
192,Mohamad Al-Garni,Qatar,7/2/1992,MOROCCO (MAR),0,0,0,Men's 1500m
193,Shinoona Salah Al-Habsi,Oman,7/3/1993,AL KHOUDH (OMA),0,0,0,Women's 100m
194,Barakat Mubarak Al-Harthi,Oman,6/15/1988,Ibra (OMA),0,0,0,Men's 100m
195,Safaa Al-Jumaili,Iraq,1/1/1990,DIYALA,0,0,0,Men's 85kg
196,Hamdan Al-Kamali,Emirates,5/2/1989,,0,0,0,Men's Football
197,Tameem Mohammed Ahmed Al-Kubati,Yemen,1/1/1989,SANA'A (YEM),0,0,0,Men's -58kg
198,Noor Hussain Al-Malki,Qatar,10/21/1994,Doha (QAT),0,0,0,Women's 100m
199,Rand Al-Mashhadani,Iraq,8/11/1994,BAGHDAD,0,0,0,Women's Individual
200,Ahmed Mohamed Al-Merjabi,Oman,9/9/1990,Ibra (OMA),0,0,0,Men's 400m
201,Ahmad Kh A Al-Molad,SaudiArabia,2/16/1988,Jeddah (KSA),0,0,0,Men's 110m Hurdles
202,Moukheld Al-Outaibi,SaudiArabia,6/20/1976,Taïf (KSA),0,0,0,"Men's 5000m, Men's 10,000m"
203,Fawaz Al-Shammari,Kuwait,4/3/1977,KUWAIT (KUW),0,0,0,Men's 110m Hurdles
204,Majed Al-Tamimi,SaudiArabia,8/21/1971,SAUDI ARABIA (KSA),0,0,0,Men's Skeet
205,Ali Mohamed Al-Zinkawi,Kuwait,2/27/1984,KUWAIT (HUN),0,0,0,Men's Hammer Throw
206,Mahmoud Alaa Eldin,Egypt,1/1/1991,,0,0,0,Men's Football
207,Marina Alabau Neira,Spain,8/31/1985,Sevilla (ESP),0,0,0,Women's RS-X
208,Danielle Alakija,Fiji,5/3/1996,Hillingdon,0,0,0,Women's 400m
209,Ali Salem Ahmed Faraj Alameri,Emirates,1/7/1989,,0,0,0,Men's Football
210,Yenew Alamirew,Ethiopia,5/27/1990,TILILI (ETH),0,0,0,Men's 5000m
211,Noshad Alamiyan,Iran,11/21/1991,BABOL,0,0,0,Men's Singles
212,Mariem Alaoui Selsouli,Morocco,7/8/1984,MARRAKECH MEDINA (MAR),0,0,0,"Women's 1500m, Women's 5000m"
213,Francisco Roman Alarcon Suarez,Spain,4/21/1992,,0,0,0,Men's Football
214,Dhaher Alaryani,Emirates,12/11/1972,RAS ALKHAIMAH (UAE),0,0,0,Men's Trap
215,Yousef Alaskari,Kuwait,3/25/1994,KUWAIT (KUW),0,0,0,Men's 200m Butterfly
216,Janice Alatoa,Vanuatu,10/30/1988,PORT VILA (VAN),0,0,0,Women's 100m
217,Jordi Alba,Spain,3/21/1989,,0,0,0,Men's Football
218,Azad Albarazi,Syria,1/4/1988,SAUDI ARABIA (KSA),0,0,0,Men's 100m Breaststroke
219,Michael Albasini,Switzerland,12/20/1980,Wil,0,0,0,"Men's Individual Time Trial, Men's Road Race"
220,Ruslan Albegov,Russia,1/26/1988,VLADIKAVKAZ,0,0,0,Men's +105kg
221,Isil Alben,Turkey,2/22/1986,,0,0,0,Women's Basketball
222,Samantha Albert,Jamaica,5/31/1971,Montreal (CAN),0,0,0,"Individual Eventing, CARRAIG DUBH"
223,Nely Alberto Francisca,Spain,7/2/1983,,0,0,0,Women's Handball
224,Emiliano Albin,Uruguay,1/24/1989,,0,0,0,Men's Football
225,Nicoleta Albu,Romania,8/10/1988,,0,0,0,Women's Eight
226,Dailenys Alcantara,Cuba,8/10/1991,Santiago de Cuba (CUB),0,0,0,Women's Triple Jump
227,Arnold Alcolea,Cuba,9/25/1982,Santiago de Cuba (CUB),0,0,0,Men's Road Race
228,Kyle Alcorn,USA,3/18/1985,Fresno,0,0,0,Men's 3000m Steeplechase
229,Yamile Aldama,GreatBritain,8/14/1972,Havana (CUB),0,0,0,Women's Triple Jump
230,Andrea Aldana Bennett,Guatemala,4/29/1989,GUATEMALA CITY (GUA),0,0,0,Women's Laser Radial
231,Ibragim Aldatov,Ukraine,11/4/1983,BESLAN,0,0,0,Men's 84kg Freestyle
232,Fehaid Aldeehani,Kuwait,10/11/1966,KUWAIT (KUW),0,0,0,"Men's Trap, Men's Double Trap"
233,Humaid Alderei,Emirates,4/16/1991,MEKNAS,0,0,0,Men's -66kg
234,David Alegre,Spain,9/6/1984,,0,0,0,Men's Hockey
235,Ramon Alegre,Spain,5/14/1981,,0,0,0,Men's Hockey
236,Jannet Alegria Pena,Mexico,8/30/1987,SAN JUAN DEL RIO (MEX),0,0,0,Women's -49kg
237,Jo Aleh,NewZealand,5/15/1986,Auckland (NZL),0,0,0,Women's 470
238,Eric Alejandro,PuertoRico,4/15/1986,New Jersey,0,0,0,Men's 400m Hurdles
239,Virgilijus Alekna,Lithuania,2/13/1972,KUPISKIS (LTU),0,0,0,Men's Discus Throw
240,Aleksandar Aleksandrov,Bulgaria,10/31/1984,Sofia (BUL),0,0,0,Men's Light Fly (49kg)
241,Aleksandar Aleksandrov,Azerbaijan,4/9/1990,,0,0,0,Men's Single Sculls
242,Dmitrii Aleksandrov,Kyrgyzstan,9/12/1992,Bishkek (KGZ),0,0,0,Men's 200m Breaststroke
243,Artur Aleksanyan,Armenia,10/21/1991,Gyumri (ARM),0,0,0,Men's 96kg Greco-Roman
244,Sandra Aleksejeva,Latvia,5/3/1991,Kraslava (LAT),0,0,0,Women's BMX
245,Denis Alekseyev,Russia,12/21/1987,Leningrad,0,0,0,Men's 4 x 400m Relay
246,Aleksandar Aleksic,Serbia,4/13/1992,,0,0,0,Men's Kayak Four (K4) 1000m
247,Milan Aleksic,Serbia,5/13/1986,Beograd (SRB),0,0,0,Men's Water Polo
248,Todor Aleksiev,Bulgaria,4/21/1983,Plovdiv (BUL),0,0,0,Men's Volleyball
249,Ilya Aleksievich,Belarus,2/10/1991,,0,0,0,Men's Football
250,Octavio Alesi Gonzalez,Venezuela,11/10/1986,Barinas,0,0,0,Men's 4x100m Freestyle Relay
251,Ayanna Alexander,TrinidadTobago,7/20/1982,Port of Spain (TRI),0,0,0,Women's Triple Jump
252,J'maal Alexander,VirginIslands,10/26/1993,Tortola (IVB),0,0,0,Men's 100m
253,Kineke Alexander,StVincenttheGrenadines,2/21/1986,KIngstown (VIN),0,0,0,Women's 400m
254,Dmitriy Alexanin,Kazakhstan,12/18/1991,,0,0,0,Men's Individual Epee
255,Yevgeniy Alexeyev,Kazakhstan,12/11/1977,Shymkent (KAZ),0,0,0,"Men's Kayak Double (K2) 1000m, Men's Kayak Double (K2) 200m"
256,Alin Alexuc-Ciurariu,Romania,2/3/1990,Botosani,0,0,0,Men's 96kg Greco-Roman
257,Rafael Alfaro,ElSalvador,2/4/1992,San Salvador (ESA),0,0,0,Men's 400m Individual Medley
258,Sara Alflaij,Bahrain,8/3/1995,USA,0,0,0,Women's 50m Freestyle
259,Linda Algotsson,Sweden,3/22/1972,KRISTVALLA (SWE),0,0,0,"Individual Eventing, Team Eventing, LA FAIR"
260,Sara Algotsson Ostholt,Sweden,12/8/1974,KRISTVALLA (SWE),0,1,0,"Individual Eventing, Team Eventing, WEGA"
261,Hussain Jamaan Alhamdah,SaudiArabia,4/4/1983,NAJRAN (KSA),0,0,0,Men's 5000m
262,Ibrahem Alhasan,Kuwait,8/22/1986,KUWAIT (KUW),0,0,0,Men's Singles
263,Annabel Laure Ali,Cameroon,3/4/1985,GAROUA (CMR),0,0,0,Women's 72kg Freestyle
264,Belal Mansoor Ali,Bahrain,10/17/1988,KENYA (KEN),0,0,0,"Men's 800m, Men's 1500m"
265,Kame Ali,Madagascar,5/21/1985,Namakia (MAD),0,0,0,Men's 110m Hurdles
266,Lahoussine Ali,Morocco,8/16/1974,,0,0,0,Men's Individual Foil
267,Liaqat Ali,Pakistan,8/6/1983,OKARA (PAK),0,0,0,Men's 100m
268,Zourah Ali,Djibouti,11/23/1994,ALI SABIEH (DJI),0,0,0,Women's 400m
269,Khalid Alibaba,Bahrain,9/6/1996,Manama (BRN),0,0,0,Men's 100m Butterfly
270,Mirko Alilovic,Croatia,9/15/1985,,0,0,0,Men's Handball
271,Elmir Alimzhanov,Kazakhstan,10/5/1986,,0,0,0,Men's Individual Epee
272,Alexey Alipov,Russia,8/7/1975,Moscow,0,0,0,Men's Trap
273,Ashraf Aliyev,Azerbaijan,7/29/1986,ABSHERON (AZE),0,0,0,Men's 74kg Freestyle
274,Hasan Aliyev,Azerbaijan,11/14/1989,GAZAKH (AZE),0,0,0,Men's 60kg Greco-Roman
275,Triin Aljand,Estonia,7/8/1985,Tallinn (EST),0,0,0,"Women's 50m Freestyle, Women's 100m Butterfly"
