time1,time2,rk1,rk2,result
"Cruzeiro","Goiás",375,344,V
"Corinthians","SãoPaulo",358,431,E
"Figueirense","Sport",325,51,D
"AtléticoPR","Juventude",345,308,V
"AtléticoMG","AméricaRN",267,17,V
"Náutico","Cruzeiro",49,375,D
"SãoPaulo","Fluminense",431,340,D
"Internacional","Corinthians",371,358,V
"Palmeiras","Santos",278,415,E
"Goiás","Grêmio",344,265,E
"Flamengo","Paraná",321,309,D
"AméricaRN","AtléticoPR",17,345,V
"Juventude","Internacional",308,371,V
"Vasco","AtléticoMG",309,267,V
"Corinthians","Náutico",358,49,D
"Cruzeiro","SãoPaulo",375,431,D
"Grêmio","Flamengo",265,321,V
"Fluminense","Goiás",340,344,V
"Santos","Figueirense",415,325,V
"Paraná","Palmeiras",309,278,V
"Sport","Botafogo",51,219,E
"AtléticoPR","Cruzeiro",345,375,E
"Goiás","Santos",344,415,V
"Náutico","Grêmio",49,265,D
"Flamengo","AméricaRN",321,17,V
"Palmeiras","Vasco",278,309,V
"Figueirense","Corinthians",325,358,E
"Internacional","Paraná",371,309,V
"Botafogo","Juventude",219,308,V
"AtléticoMG","Fluminense",267,340,V
"SãoPaulo","Sport",431,51,V
"Santos","Náutico",415,49,D
"Grêmio","AtléticoPR",265,345,E
"Vasco","Goiás",309,344,V
"Corinthians","Flamengo",358,321,E
"Sport","Internacional",51,371,D
"Juventude","Palmeiras",308,278,E
"Paraná","AtléticoMG",309,267,D
"Fluminense","Figueirense",340,325,E
"AméricaRN","SãoPaulo",17,431,D
"Cruzeiro","Botafogo",375,219,V
"Goiás","Paraná",344,309,V
"Náutico","Fluminense",49,340,E
"Palmeiras","Sport",278,51,D
"Botafogo","AméricaRN",219,17,V
"AtléticoPR","Corinthians",345,358,E
"AtléticoMG","Santos",267,415,D
"Internacional","Vasco",371,309,D
"Figueirense","Grêmio",325,265,V
"SãoPaulo","Juventude",431,308,V
"Corinthians","Goiás",358,344,V
"AméricaRN","Náutico",17,49,D
"Sport","AtléticoPR",51,345,V
"Fluminense","Palmeiras",340,278,D
"Cruzeiro","Internacional",375,371,V
"Santos","Flamengo",415,321,V
"Juventude","AtléticoMG",308,267,D
"Vasco","Figueirense",309,325,E
"Paraná","Botafogo",309,219,E
"Grêmio","SãoPaulo",265,431,D
"Cruzeiro","Sport",375,51,V
"Juventude","Fluminense",308,340,E
"Botafogo","SãoPaulo",219,431,D
"Náutico","Figueirense",49,325,V
"AtléticoPR","Flamengo",345,321,V
"Goiás","AtléticoMG",344,267,V
"Vasco","Corinthians",309,358,V
"Grêmio","AméricaRN",265,17,V
"Palmeiras","Internacional",278,371,E
"Santos","Paraná",415,309,V
"Sport","Juventude",51,308,V
"SãoPaulo","AtléticoPR",431,345,V
"Flamengo","Náutico",321,49,V
"Corinthians","Grêmio",358,265,V
"AtléticoMG","Palmeiras",267,278,D
"Figueirense","Botafogo",325,219,E
"Internacional","Goiás",371,344,V
"AméricaRN","Cruzeiro",17,375,D
"Paraná","Vasco",309,309,E
"Fluminense","Santos",340,415,V
"Botafogo","Corinthians",219,358,D
"Fluminense","Flamengo",340,321,D
"AtléticoPR","Figueirense",345,325,E
"Santos","Sport",415,51,V
"Grêmio","Paraná",265,309,V
"Palmeiras","Flamengo",278,321,V
"Goiás","SãoPaulo",344,431,E
"Botafogo","Internacional",219,371,E
"Náutico","AtléticoMG",49,267,D
"Cruzeiro","Fluminense",375,340,V
"Juventude","Corinthians",308,358,E
"Vasco","AméricaRN",309,17,V
"Flamengo","Juventude",321,308,V
"Corinthians","Cruzeiro",358,375,D
"Fluminense","Grêmio",340,265,E
"Internacional","AtléticoPR",371,345,V
"Paraná","Juventude",309,308,V
"AméricaRN","Santos",17,415,D
"Sport","Vasco",51,309,E
"AtléticoMG","Botafogo",267,219,D
"SãoPaulo","Náutico",431,49,V
"Figueirense","Palmeiras",325,278,D
"Flamengo","Goiás",321,344,V
"Palmeiras","SãoPaulo",278,431,D
"Paraná","Cruzeiro",309,375,E
"Juventude","Goiás",308,344,V
"Botafogo","Flamengo",219,321,E
"Sport","Grêmio",51,265,V
"AtléticoMG","Corinthians",267,358,V
"Figueirense","AméricaRN",325,17,V
"Internacional","Fluminense",371,340,D
"Santos","AtléticoPR",415,345,V
"Vasco","Náutico",309,49,V
"SãoPaulo","Paraná",431,309,V
"AméricaRN","Juventude",17,308,D
"Flamengo","Sport",321,51,E
"Corinthians","Santos",358,415,V
"AtléticoPR","AtléticoMG",345,267,V
"Goiás","Figueirense",344,325,V
"Fluminense","Vasco",340,309,E
"Náutico","Internacional",49,371,E
"Cruzeiro","Palmeiras",375,278,V
"Grêmio","Botafogo",265,219,V
"Corinthians","AméricaRN",358,17,V
"Goiás","AtléticoPR",344,345,D
"AtléticoMG","SãoPaulo",267,431,E
"Santos","Internacional",415,371,V
"Juventude","Cruzeiro",308,375,V
"Grêmio","Vasco",265,309,V
"Flamengo","Figueirense",321,325,V
"Paraná","Náutico",309,49,D
"Botafogo","Palmeiras",219,278,E
"Sport","Fluminense",51,340,D
"Cruzeiro","Grêmio",375,265,V
"Santos","Juventude",415,308,V
"Figueirense","AtléticoMG",325,267,V
"Internacional","Flamengo",371,321,V
"Vasco","SãoPaulo",309,431,D
"Palmeiras","Goiás",278,344,V
"Paraná","Corinthians",309,358,V
"AméricaRN","Sport",17,51,E
"Fluminense","AtléticoPR",340,345,V
"Náutico","Botafogo",49,219,V
"Flamengo","Cruzeiro",321,375,V
"Goiás","Náutico",344,49,D
"Fluminense","AméricaRN",340,17,V
"SãoPaulo","Santos",431,415,V
"Corinthians","Botafogo",358,219,D
"AtléticoPR","Palmeiras",345,278,V
"Sport","Paraná",51,309,V
"AtléticoMG","Cruzeiro",267,375,D
"Figueirense","Juventude",325,308,V
"Grêmio","Internacional",265,371,V
"Flamengo","Vasco",321,309,E
"Goiás","AméricaRN",344,17,E
"SãoPaulo","Figueirense",431,325,V
"Grêmio","Santos",265,415,V
"Palmeiras","Corinthians",278,358,V
"AtléticoPR","Paraná",345,309,V
"Botafogo","Fluminense",219,340,D
"Náutico","Sport",49,51,V
"AtléticoMG","Internacional",267,371,E
"Juventude","Flamengo",308,321,E
"Vasco","Cruzeiro",309,375,D
"Corinthians","Sport",358,51,D
"Náutico","AtléticoPR",49,345,V
"Flamengo","AtléticoMG",321,267,V
"Paraná","Fluminense",309,340,V
"AméricaRN","Palmeiras",17,278,E
"Botafogo","Goiás",219,344,D
"Cruzeiro","Figueirense",375,325,D
"Santos","Vasco",415,309,V
"Juventude","Grêmio",308,265,D
"Internacional","SãoPaulo",371,431,D
"Palmeiras","Náutico",278,49,V
"AtléticoPR","Botafogo",345,219,V
"Fluminense","Corinthians",340,358,E
"Sport","Goiás",51,344,V
"Cruzeiro","Santos",375,415,D
"Grêmio","AtléticoMG",265,267,E
"Vasco","Juventude",309,308,D
"AméricaRN","Paraná",17,309,V
"Flamengo","SãoPaulo",321,431,V
"Figueirense","Internacional",325,371,E
"Palmeiras","Grêmio",278,265,V
"Botafogo","Santos",219,415,D
"Náutico","Juventude",49,308,V
"AtléticoPR","Vasco",345,309,V
"Goiás","Cruzeiro",344,375,E
"AtléticoMG","Sport",267,51,V
"SãoPaulo","Corinthians",431,358,D
"Figueirense","Paraná",325,309,V
"Internacional","AméricaRN",371,17,V
"Flamengo","Fluminense",321,340,D
"Sport","Figueirense",51,325,E
"Cruzeiro","Náutico",375,49,E
"Juventude","AtléticoPR",308,345,E
"Corinthians","Internacional",358,371,E
"Paraná","Flamengo",309,321,D
"AméricaRN","AtléticoMG",17,267,D
"Fluminense","SãoPaulo",340,431,E
"Santos","Palmeiras",415,278,E
"Grêmio","Goiás",265,344,V
"Vasco","Botafogo",309,219,V
"Vasco","Flamengo",309,321,D
"Palmeiras","Paraná",278,309,V
"Goiás","Fluminense",344,340,V
"Botafogo","Sport",219,51,V
"AtléticoPR","AméricaRN",345,17,V
"Náutico","Corinthians",49,358,V
"AtléticoMG","Vasco",267,309,V
"SãoPaulo","Cruzeiro",431,375,V
"Figueirense","Santos",325,415,V
"Internacional","Juventude",371,308,V
"Flamengo","Grêmio",321,265,V
"Fluminense","AtléticoMG",340,267,E
"Cruzeiro","AtléticoPR",375,345,E
"Santos","Goiás",415,344,V
"Corinthians","Figueirense",358,325,V
"Paraná","Internacional",309,371,V
"AméricaRN","Flamengo",17,321,D
"Sport","SãoPaulo",51,431,D
"Juventude","Botafogo",308,219,E
"Grêmio","Náutico",265,49,V
"Vasco","Palmeiras",309,278,E
"AtléticoPR","Grêmio",345,265,V
"Goiás","Vasco",344,309,D
"Náutico","Santos",49,415,D
"AtléticoMG","Paraná",267,309,E
"SãoPaulo","AméricaRN",431,17,V
"Figueirense","Fluminense",325,340,D
"Flamengo","Corinthians",321,358,V
"Palmeiras","Juventude",278,308,D
"Botafogo","Cruzeiro",219,375,V
"Internacional","Sport",371,51,E
"Paraná","Goiás",309,344,V
"Fluminense","Náutico",340,49,V
"Grêmio","Figueirense",265,325,D
"Corinthians","AtléticoPR",358,345,E
"AméricaRN","Botafogo",17,219,E
"Sport","Palmeiras",51,278,V
"Cruzeiro","Flamengo",375,321,V
"Santos","AtléticoMG",415,267,E
"Vasco","Internacional",309,371,D
"Juventude","SãoPaulo",308,431,V
"Botafogo","Paraná",219,309,V
"Náutico","AméricaRN",49,17,V
"Internacional","Cruzeiro",371,375,V
"AtléticoPR","Sport",345,51,E
"Goiás","Corinthians",344,358,E
"AtléticoMG","Juventude",267,308,V
"SãoPaulo","Grêmio",431,265,V
"Figueirense","Vasco",325,309,E
"Flamengo","Santos",321,415,V
"Palmeiras","Fluminense",278,340,V
"AméricaRN","Grêmio",17,265,D
"Fluminense","Juventude",340,308,V
"Paraná","Santos",309,415,D
"Sport","Cruzeiro",51,375,V
"SãoPaulo","Botafogo",431,219,E
"Internacional","Palmeiras",371,278,V
"Flamengo","AtléticoPR",321,345,V
"Corinthians","Vasco",358,309,D
"AtléticoMG","Goiás",267,344,V
"Figueirense","Náutico",325,49,V
"Palmeiras","AtléticoMG",278,267,D
"AtléticoPR","SãoPaulo",345,431,V
"Goiás","Internacional",344,371,V
"Botafogo","Figueirense",219,325,E
"Náutico","Flamengo",49,321,V
"Cruzeiro","AméricaRN",375,17,V
"Santos","Fluminense",415,340,D
"Juventude","Sport",308,51,V
"Grêmio","Corinthians",265,358,E
