@relation segment-weka.filters.unsupervised.instance.RemovePercentage-P67.0

@attribute region-centroid-col numeric
@attribute region-centroid-row numeric
@attribute region-pixel-count numeric
@attribute short-line-density-5 numeric
@attribute short-line-density-2 numeric
@attribute vedge-mean numeric
@attribute vegde-sd numeric
@attribute hedge-mean numeric
@attribute hedge-sd numeric
@attribute intensity-mean numeric
@attribute rawred-mean numeric
@attribute rawblue-mean numeric
@attribute rawgreen-mean numeric
@attribute exred-mean numeric
@attribute exblue-mean numeric
@attribute exgreen-mean numeric
@attribute value-mean numeric
@attribute saturation-mean numeric
@attribute hue-mean numeric
@attribute class {brickface,sky,foliage,cement,window,path,grass}

@data
103,64,9,0,0,0.666667,0.699205,1.33333,0.918936,108.778,96.3333,126.222,103.778,-37.3333,52.3333,-15,126.222,0.236797,-2.35544,sky
214,161,9,0,0,3.72222,0.729634,11.5,18.9222,40.4444,35.3333,49.6667,36.3333,-15.3333,27.6667,-12.3333,49.6667,0.298056,-2.19894,path
205,82,9,0,0,1.22222,1.14827,2.5,2.16795,15.2222,11.8889,21.6667,12.1111,-10,19.3333,-9.33333,21.6667,0.458152,-2.10272,window
145,163,9,0,0,3.11111,13.4963,18.6667,27.2445,39.4444,34,47.7778,36.5556,-16.3333,25,-8.66667,48.1111,0.281536,-2.42532,path
8,93,9,0,0,0.833333,0.459468,1.05556,0.928959,19.8889,15.1111,28.8889,15.6667,-14.3333,27,-12.6667,28.8889,0.480246,-2.13621,window
217,77,9,0,0,1.55556,2.74074,1.66667,0.533333,40.2222,37.2222,48.2222,35.2222,-9,24,-15,48.2222,0.269192,-1.93207,cement
55,145,9,0,0,5.05556,2.97707,1,0.421638,26.7778,24.2222,33.3333,22.7778,-7.66667,19.6667,-12,33.3333,0.315338,-1.93469,cement
237,191,9,0,0,1,0.311111,1.5,1.01111,7.33333,5.33333,5.44444,11.2222,-6,-5.66667,11.6667,11.2222,0.53582,2.12242,grass
37,189,9,0,0,1.38889,1.48518,5.72222,23.8852,30,27.1111,36.3333,26.5556,-8.66667,19,-10.3333,36.3333,0.265248,-2.05028,path
75,226,9,0,0,2.22222,0.655461,1.61111,1.02017,16.7037,15.3333,13,21.7778,-4.11111,-11.1111,15.2222,21.7778,0.404749,1.82234,grass
16,128,9,0,0,0.5,0.077778,0.666667,0.311111,5.55556,6.88889,6.66667,3.11111,4,3.33333,-7.33333,7.11111,0.561508,-0.985811,brickface
208,240,9,0.111111,0,1.05556,0.862963,2.44444,5.00741,14.1481,10.8889,13,18.5556,-9.77778,-3.44444,13.2222,18.5556,0.421621,2.39249,grass
217,80,9,0,0,0.555555,0.58373,2.77778,0.720082,15.8519,11.8889,23.2222,12.4444,-11.8889,22.1111,-10.2222,23.2222,0.489982,-2.14227,window
217,45,9,0.111111,0,0.888888,0.207408,1.55556,0.829628,121.519,111.111,137.333,116.111,-31.2222,47.4444,-16.2222,137.333,0.190912,-2.29267,sky
223,62,9,0,0,0.333333,0.298142,0.444444,0.501848,6.44444,4.11111,11.4444,3.77778,-7,15,-8,11.4444,0.67037,-2.04872,window
195,136,9,0,0,1.16667,0.522222,1.16667,0.477777,2.44444,0.666667,5.77778,0.888889,-5.33333,10,-4.66667,5.77778,0.911155,-2.13034,window
66,41,9,0,0,0.611112,0.327731,0.388892,0.327733,109.704,95.1111,128.889,105.111,-43.7778,57.5556,-13.7778,128.889,0.262046,-2.40475,sky
73,103,9,0,0,1.27778,0.32963,1.11111,1.54074,18.3333,19.2222,22.5556,13.2222,2.66667,12.6667,-15.3333,22.5556,0.410306,-1.39741,brickface
68,103,9,0,0,0.666667,0.577778,1.11111,0.962963,2.14815,0.111111,5.66667,0.666667,-6.11111,10.5556,-4.44444,5.66667,0.987654,-2.18547,foliage
142,33,9,0,0,0.499999,0.623609,0.500001,0.349603,110.593,96.7778,128.667,106.333,-41.4444,54.2222,-12.7778,128.667,0.247776,-2.40802,sky
105,69,9,0,0,2.5,1.53116,1.83333,1.47196,59.5556,53.4444,73.2222,52,-18.3333,41,-22.6667,73.2222,0.289653,-2.02286,cement
170,139,9,0,0,1.05556,0.507408,0.722222,0.285185,4.18518,1.88889,8.55556,2.11111,-6.88889,13.1111,-6.22222,8.55556,0.786175,-2.12759,window
233,64,9,0,0,1,0.800003,0.777777,0.207406,92.8148,77.2222,118.667,82.5556,-46.7778,77.5556,-30.7778,118.667,0.34921,-2.22894,sky
115,138,9,0,0,0.333333,0.088889,0.333333,0.177778,0.777778,0,2.33333,0,-2.33333,4.66667,-2.33333,2.33333,1,-2.0944,foliage
226,131,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,window
143,186,9,0,0,2.33333,2.319,2.77778,2.52689,54.963,49.1111,67.8889,47.8889,-17.5556,38.7778,-21.2222,67.8889,0.296251,-2.02862,path
160,73,9,0.111111,0,0.944444,0.32963,0.777777,0.651852,58.8148,54,70.1111,52.3333,-14.4444,33.8889,-19.4444,70.1111,0.253364,-1.99691,cement
116,184,9,0,0,2.22222,2.11852,10.6111,45.0852,31.7037,28.7778,38,28.3333,-8.77778,18.8889,-10.1111,38.3333,0.250721,-2.21546,path
64,114,9,0,0,5.16667,6.32016,8.83333,8.66859,29.8148,18.3333,47.2222,23.8889,-34.4444,52.2222,-17.7778,47.2222,0.629245,-2.29538,foliage
202,193,9,0,0,1.11111,0.750308,3.38889,2.48924,41.7037,37.8889,50.6667,36.5556,-11.4444,26.8889,-15.4444,50.6667,0.278387,-1.993,path
2,171,9,0,0,1.94444,1.21868,3.66667,3.12694,45.7778,41,56.3333,40,-14.3333,31.6667,-17.3333,56.3333,0.287983,-2.03293,path
137,92,9,0,0,7.38889,7.3799,0.777778,0.344265,9.96296,7.11111,15.5556,7.22222,-8.55556,16.7778,-8.22222,15.5556,0.608437,-2.0967,window
196,95,9,0,0,1.72222,1.12382,1.33333,1.26491,7.62963,6.77778,10.7778,5.33333,-2.55556,9.44444,-6.88889,10.7778,0.512566,-1.74926,window
85,56,9,0,0,1.33333,0.4,1.27778,1.84074,26.4444,23.3333,36,20,-9.33333,28.6667,-19.3333,36,0.442788,-1.86318,brickface
154,189,9,0,0,1.55556,1.04704,1.44444,0.860663,59.9259,53.4444,74.8889,51.4444,-19.4444,44.8889,-25.4444,74.8889,0.312892,-2.00596,path
227,104,9,0,0.111111,0.5,0.547723,3.11111,2.10467,19.6296,16.2222,26.1111,16.5556,-10.2222,19.4444,-9.22222,26.1111,0.380292,-2.12823,window
104,112,9,0,0,0.611111,0.250924,1.05556,0.712325,59.1481,52.2222,73.3333,51.8889,-20.7778,42.5556,-21.7778,73.3333,0.293681,-2.07846,cement
116,125,9,0,0,2.83333,0.722649,2.05555,0.574133,60.9259,52.5556,76.4444,53.7778,-25.1111,46.5556,-21.4444,76.4444,0.317206,-2.14505,cement
183,78,9,0,0,1.05556,0.329632,0.777779,1.27408,135.556,128.667,147,131,-20.6667,34.3333,-13.6667,147,0.124647,-2.22554,sky
45,67,9,0,0,0.666667,0.298141,1.05555,0.646929,64.7407,57.1111,80.4444,56.6667,-22.8889,47.1111,-24.2222,80.4444,0.298145,-2.07666,cement
136,193,9,0,0,2.38889,1.45169,2.55556,1.40897,60.7037,54.4444,74.8889,52.7778,-18.7778,42.5556,-23.7778,74.8889,0.295304,-2.01821,path
77,185,9,0,0,2.94444,7.66296,6.22222,32.1185,32.5556,29.2222,39.6667,28.7778,-10,21.3333,-11.3333,39.6667,0.27036,-2.08527,path
13,15,9,0.111111,0,1.22222,0.886108,1.22222,1.0256,68.963,59.3333,86.8889,60.6667,-28.8889,53.7778,-24.8889,86.8889,0.316905,-2.14532,cement
169,137,9,0,0,1.5,0.477777,8.44444,50.0741,25.3333,18.6667,36.5556,20.7778,-20,33.6667,-13.6667,36.5556,0.502569,-2.21303,window
94,13,9,0,0,1.05555,0.507406,1.66666,1.24444,141.593,134.889,149.889,140,-20.1111,24.8889,-4.77778,149.889,0.100091,-2.44927,sky
105,65,9,0,0,0.944443,0.611618,1.5,1.22474,123,111.667,140,117.333,-34,51,-17,140,0.202365,-2.30399,sky
234,175,9,0,0,1.94444,1.32358,3.44445,2.2575,57.7778,50.6667,72.6667,50,-21.3333,44.6667,-23.3333,72.6667,0.312037,-2.06378,path
89,53,9,0,0,2.11111,1.71852,2.83333,3.01111,27.0741,22.7778,38.3333,20.1111,-12.8889,33.7778,-20.8889,38.3333,0.474773,-1.93748,brickface
90,134,9,0,0,0.555556,0.340741,1.05556,0.374074,2.66667,1,6.11111,0.888889,-5,10.3333,-5.33333,6.11111,0.876102,-2.07124,window
24,65,9,0,0,1.22222,1.76296,2.33333,2.35556,20.8148,20.1111,26.7778,15.5556,-2.11111,17.8889,-15.7778,26.7778,0.419418,-1.66585,brickface
214,84,9,0,0,0.222222,0.272165,0.444445,0.344265,17.1852,13,24.8889,13.6667,-12.5556,23.1111,-10.5556,24.8889,0.477222,-2.15285,window
145,102,9,0,0,0.888889,0.607408,2.61111,1.48519,23.0741,22.1111,29.7778,17.3333,-2.88889,20.1111,-17.2222,29.7778,0.417763,-1.68544,brickface
52,102,9,0,0,0.722222,0.507407,0.833333,0.566667,2.88889,0.666667,6.33333,1.66667,-6.66667,10.3333,-3.66667,6.33333,0.899735,-2.26172,foliage
34,196,9,0,0,1.38889,2.01852,2.38889,1.21852,15.7037,12.4444,15.1111,19.5556,-9.77778,-1.77778,11.5556,19.5556,0.365232,2.51177,grass
75,122,9,0,0,0.722222,0.240741,0.833333,0.388889,1.59259,0,4.44444,0.333333,-4.77778,8.55556,-3.77778,4.44444,1,-2.1536,foliage
25,198,9,0,0,2.83333,1.34577,4.11111,3.34442,48.7037,42.7778,61,42.3333,-17.7778,36.8889,-19.1111,61,0.309645,-2.07072,path
199,120,9,0,0,5.77778,4.95162,0.944444,0.443052,51.0741,48.2222,59.2222,45.7778,-8.55556,24.4444,-15.8889,59.2222,0.224617,-1.89642,cement
163,133,9,0,0,0.111111,0.172133,0.222222,0.272166,1.55556,1,3.55556,0.111111,-1.66667,6,-4.33333,3.55556,0.972222,-1.82256,window
121,55,9,0,0,1.5,2.87777,1.44445,1.18518,103.074,90,124.111,95.1111,-39.2222,63.1111,-23.8889,124.111,0.274795,-2.25101,sky
240,145,9,0,0,0.388889,0.151852,0.5,0.122222,4.07407,5.33333,5,1.88889,3.77778,2.77778,-6.55556,5.44444,0.655556,-0.959485,brickface
226,141,9,0,0,0.5,0.433333,0.777778,0.385185,5.40741,7,6.22222,3,4.77778,2.44444,-7.22222,7,0.574074,-0.843732,brickface
181,27,9,0,0,0.722221,0.462964,0.5,0.255555,138.074,132.556,146.556,135.111,-16.5556,25.4444,-8.88889,146.556,0.096263,-2.26453,sky
114,102,9,0,0,1.11111,1.22963,1.16667,0.877778,4.03704,1,8.44444,2.66667,-9.11111,13.2222,-4.11111,8.44444,0.891218,-2.31611,foliage
76,89,9,0,0,1.05556,0.952579,3.27778,2.45327,16.8148,12.8889,24.4444,13.1111,-11.7778,22.8889,-11.1111,24.4444,0.473045,-2.11184,window
132,91,9,0,0.111111,18.9444,188.507,33.4444,889.363,42.8148,35.8889,52.6667,39.8889,-20.7778,29.5556,-8.77778,52.6667,0.398824,-2.34606,foliage
173,186,9,0,0.111111,3.22222,2.1152,5.5,3.50713,53.4444,48.2222,65.8889,46.2222,-15.6667,37.3333,-21.6667,65.8889,0.298302,-1.98825,path
216,15,9,0,0,0.888891,0.340743,1.22223,0.518519,106.519,90.8889,131.111,97.5556,-46.8889,73.7778,-26.8889,131.111,0.306737,-2.26645,sky
75,131,9,0,0,0.222222,0.02963,0.333333,0.044444,0.518518,0,1.55556,0,-1.55556,3.11111,-1.55556,1.55556,1,-2.0944,foliage
168,70,9,0,0,0.833333,0.611112,0.388889,0.107408,55.037,51.5556,64.8889,48.6667,-10.4444,29.5556,-19.1111,64.8889,0.249829,-1.90796,cement
108,111,9,0,0,0.555555,0.162963,2.55556,0.385187,3.81481,4.11111,5.55556,1.77778,0.888889,5.22222,-6.11111,5.55556,0.715608,-1.43724,brickface
90,111,9,0,0,1.66667,1.46667,1.33333,1.02222,18.6296,19.7778,22.2222,13.8889,3.44444,10.7778,-14.2222,22.2222,0.374312,-1.33379,brickface
156,123,9,0,0,0.388889,0.151852,0.388889,0.062963,6.11111,8,6.77778,3.55556,5.66667,2,-7.66667,8,0.555776,-0.761648,brickface
140,116,9,0,0,0.944445,0.285185,0.888889,0.074074,22.1111,21.3333,28.1111,16.8889,-2.33333,18,-15.6667,28.1111,0.398448,-1.67031,brickface
64,74,9,0,0,1.33333,0.577777,1.38889,0.907407,21.1481,21,26.8889,15.5556,-0.444444,17.2222,-16.7778,26.8889,0.419204,-1.55423,brickface
99,184,9,0,0,1.83333,3.27778,7.94444,63.3518,31.5185,27.7778,38.7778,28,-11.2222,21.7778,-10.5556,38.7778,0.28045,-2.18312,path
173,219,9,0,0,2.77778,3.4963,2.83333,6.61111,5.59259,4.11111,4.33333,8.33333,-4.44444,-3.77778,8.22222,8.33333,0.561254,2.14836,grass
225,22,9,0,0,0.833333,0.255559,0.722221,0.107409,137.963,133,147,133.889,-14.8889,27.1111,-12.2222,147,0.095184,-2.1583,sky
33,149,9,0,0,0.555556,0.251852,0.722222,0.151852,5.44444,4.11111,8.66667,3.55556,-4,9.66667,-5.66667,8.66667,0.578339,-1.9857,brickface
189,62,9,0,0,0.388889,0.250924,0.444444,0.344265,7.62963,5,13.1111,4.77778,-7.88889,16.4444,-8.55556,13.1111,0.635938,-2.06695,window
225,143,9,0,0,0.444445,0.207407,0.444444,0.162963,5.44444,6.77778,6.77778,2.77778,4,4,-8,7,0.601852,-1.04822,brickface
24,188,9,0,0,1.72222,1.21852,6.61111,38.5519,30.6296,27.3333,38,26.5556,-9.88889,22.1111,-12.2222,38,0.290796,-2.03822,path
68,172,9,0,0,1.05556,1.06284,2.33333,1.69967,30.1111,24.5556,30.1111,35.6667,-16.6667,0,16.6667,35.6667,0.312295,2.6178,grass
188,73,9,0,0,1.05556,0.928958,2.27778,1.99351,40.1852,35.6667,49.7778,35.1111,-13.5556,28.7778,-15.2222,49.7778,0.297096,-2.05496,cement
57,118,9,0,0,2.83333,5.5,1.22222,0.874073,19.4074,15.5556,26.5556,16.1111,-11.5556,21.4444,-9.88889,26.5556,0.418712,-2.14718,window
75,103,9,0.111111,0,1.38889,1.52963,1.88889,1.0963,18.963,20.2222,22.7778,13.8889,3.77778,11.4444,-15.2222,22.7778,0.388385,-1.33413,brickface
125,46,9,0.111111,0,0.611109,0.611616,2.16667,0.781735,124.556,112.778,141,119.889,-35.3333,49.3333,-14,141,0.200124,-2.35769,sky
220,120,9,0,0,0.388889,0.062963,0.388889,0.062963,1,0,3,0,-3,6,-3,3,1,-2.0944,foliage
169,190,9,0,0,3.11111,1.80944,2.88889,2.09408,52.5556,46.8889,65,45.7778,-17,37.3333,-20.3333,65,0.297059,-2.03483,path
18,145,9,0,0,0.388889,0.018519,0.611111,0.374074,3.92593,5.55556,4,2.22222,4.88889,0.222222,-5.11111,5.55556,0.600529,-0.57094,brickface
220,124,9,0,0,0.222222,0.02963,0.444444,0.074074,0.888889,0,2.44444,0.222222,-2.66667,4.66667,-2,2.44444,1,-2.16176,foliage
230,124,9,0,0,0.277778,0.107407,0.277778,0.151852,0.666667,0,2,0,-2,4,-2,2,1,-2.0944,foliage
166,55,9,0,0,1.38889,0.818524,1.16667,0.700002,124.111,113.889,139.333,119.111,-30.6667,45.6667,-15,139.333,0.182623,-2.30818,sky
237,91,9,0,0,0.611111,0.018519,0.611111,0.196296,12.1481,7.55556,20.6667,8.22222,-13.7778,25.5556,-11.7778,20.6667,0.634464,-2.14757,window
67,136,9,0,0,6.72222,3.70835,2.66667,3.19722,15.5185,9,25.3333,12.2222,-19.5556,29.4444,-9.88889,25.3333,0.660813,-2.30751,foliage
141,89,9,0,0,1.27778,1.48519,1.66667,3.68889,23.8889,23.1111,30.4444,18.1111,-2.33333,19.6667,-17.3333,30.4444,0.405022,-1.66401,brickface
247,174,9,0.111111,0,3.11111,2.68052,3.16667,1.5456,56.1852,49.4444,70.8889,48.2222,-20.2222,44.1111,-23.8889,70.8889,0.323021,-2.03735,path
229,195,9,0,0,4.16667,2.27792,4.11111,2.24763,47.7037,42.4444,58.8889,41.7778,-15.7778,33.5556,-17.7778,58.8889,0.290278,-2.0527,path
109,100,9,0,0,0.944444,0.490655,0.444445,0.403687,57.1481,51.5556,69.6667,50.2222,-16.7778,37.5556,-20.7778,69.6667,0.278963,-2.02406,cement
205,106,9,0,0,0.777778,0.45542,0.388889,0.136082,17.4815,14.1111,24,14.3333,-10.1111,19.5556,-9.44444,24,0.416401,-2.11767,window
230,124,9,0,0,0.277778,0.107407,0.277778,0.151852,0.666667,0,2,0,-2,4,-2,2,1,-2.0944,foliage
104,129,9,0,0,19.2778,28.9074,1.11111,1.0963,37.8889,33.1111,47.4444,33.1111,-14.3333,28.6667,-14.3333,47.4444,0.320613,-2.0978,cement
76,249,9,0.111111,0,2.05556,2.06296,2.33333,5.51111,13.3704,12.2222,13.1111,14.7778,-3.44444,-0.777778,4.22222,15,0.203249,2.56344,grass
164,178,9,0.222222,0,1.38889,0.862965,2.5,1.45556,23.8148,20.2222,21.1111,30.1111,-10.7778,-8.11111,18.8889,30.1111,0.329212,2.19031,grass
123,186,9,0,0,3.61111,3.02887,9.44444,7.93212,51.7778,46.5556,63.6667,45.1111,-15.6667,35.6667,-20,63.6667,0.290148,-2.0141,path
61,104,9,0.222222,0,1.38889,0.729627,1.44444,0.740741,57.3333,52.7778,68.2222,51,-13.6667,32.6667,-19,68.2222,0.252203,-1.98522,cement
150,144,9,0,0,0.555556,0.074074,0.611111,0.151852,2.51852,0.111111,6.55556,0.888889,-7.22222,12.1111,-4.88889,6.55556,0.986111,-2.21216,foliage
90,36,9,0,0,0.944443,0.327731,1.11111,1.22323,66.3704,56.5556,84.7778,57.7778,-29.4444,55.2222,-25.7778,84.7778,0.332815,-2.13858,cement
103,216,9,0,0,1.5,0.566667,0.833333,1.18889,7.07407,5.11111,5,11.1111,-5.88889,-6.22222,12.1111,11.1111,0.593124,2.0793,grass
53,134,9,0,0,2.16667,0.3,0.277778,0.018519,6.96296,4.66667,11.2222,5,-6.88889,12.7778,-5.88889,11.2222,0.587234,-2.13846,window
157,85,9,0,0,1.22222,1.24127,0.222222,0.172133,18.9259,14.5556,26.8889,15.3333,-13.1111,23.8889,-10.7778,26.8889,0.459024,-2.16091,window
171,89,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,window
180,142,9,0,0,0.166667,0.278887,0.111111,0.172133,0.111111,0,0.333333,0,-0.333333,0.666667,-0.333333,0.333333,0.222222,-2.0944,window
80,87,9,0,0.111111,24.3889,572.996,44.7222,1386.33,67.4444,58.7778,79,64.5556,-26,34.6667,-8.66667,79,0.306281,-2.42213,foliage
156,154,9,0,0,0.277778,0.327731,0.777778,0.544331,1.74074,1,3.55556,0.666667,-2.22222,5.44444,-3.22222,3.55556,0.838889,-1.9882,window
72,32,9,0.111111,0.111111,3.94444,2.70322,2.27778,1.97109,56.3704,48.5556,72.7778,47.7778,-23.4444,49.2222,-25.7778,72.7778,0.344409,-2.06061,cement
142,99,9,0,0,0.777778,0.455422,1.72222,1.34026,51.8889,51.8889,56,47.7778,0,12.3333,-12.3333,56,0.146611,-1.56746,cement
236,240,9,0,0,2.55556,1.66889,3.38889,2.45327,22.4815,19.5556,19.7778,28.1111,-8.77778,-8.11111,16.8889,28.1111,0.329382,2.14181,grass
232,126,9,0,0.111111,2.38889,11.8852,1.22222,6.2963,1.51852,0.444444,3.55556,0.555556,-3.22222,6.11111,-2.88889,3.55556,0.965812,-2.1073,foliage
98,126,9,0,0,1.05556,0.712325,0.944444,0.490653,2.77778,0.555556,5.22222,2.55556,-6.66667,7.33333,-0.666667,5.22222,0.908995,-2.53651,foliage
47,209,9,0,0,1.72222,1.28956,1.38889,0.928958,11.6296,9.55556,9.22222,16.1111,-6.22222,-7.22222,13.4444,16.1111,0.464325,2.06095,grass
242,164,9,0.111111,0,0.388889,0.534027,3.22222,1.04704,19.8148,15.1111,18.7778,25.5556,-14.1111,-3.11111,17.2222,25.5556,0.409529,2.45981,grass
14,135,9,0,0,0.277778,0.062963,0.277778,0.062963,2.88889,1.66667,6,1,-3.66667,9.33333,-5.66667,6,0.832275,-1.95855,window
14,90,9,0.111111,0,2.94444,2.43508,3.33333,3.21109,5,2.55556,7.33333,5.11111,-7.33333,7,0.333333,7.33333,0.725289,-2.63939,foliage
169,131,9,0,0,2.38889,1.86687,9.22222,2.11521,35.7037,30.6667,45.7778,30.6667,-15.1111,30.2222,-15.1111,45.7778,0.338619,-2.08919,cement
174,75,9,0,0,1.5,0.722648,2.38889,1.08355,41.1111,40.3333,45.6667,37.3333,-2.33333,13.6667,-11.3333,45.6667,0.181732,-1.72228,cement
182,186,9,0.111111,0,3.66667,2.04396,1.77778,1.24127,48.4444,43.7778,59.8889,41.6667,-14,34.3333,-20.3333,59.8889,0.304522,-1.97306,path
55,108,9,0,0,6.38889,22.5074,3.38889,10.1074,8.66667,5.11111,14.1111,6.77778,-10.6667,16.3333,-5.66667,14.1111,0.705482,-2.27555,foliage
156,32,9,0,0,0.777774,0.162964,2.61111,1.04074,136.296,129.778,146.333,132.778,-19.5556,30.1111,-10.5556,146.333,0.113055,-2.28076,sky
242,57,9,0,0.111111,2.44444,2.35388,9.27778,2.76017,15.3704,11.3333,20.8889,13.8889,-12.1111,16.5556,-4.44444,20.8889,0.466308,-2.37061,window
239,110,9,0,0,0.277778,0.062963,0.222222,0.02963,9.44444,6.11111,15.8889,6.33333,-10,19.3333,-9.33333,15.8889,0.620643,-2.12027,window
95,95,9,0,0,0.722222,0.818519,1.11111,0.251852,6.48148,2.33333,12.5556,4.55556,-12.4444,18.2222,-5.77778,12.5556,0.816909,-2.32229,foliage
138,137,9,0.111111,0,1.66667,1.77778,1,0.177777,7.62963,3.11111,13.8889,5.88889,-13.5556,18.7778,-5.22222,13.8889,0.779866,-2.36078,foliage
32,88,9,0,0,0.833332,0.349603,1.11111,0.720081,67.2593,57.8889,85,58.8889,-28.1111,53.2222,-25.1111,85,0.320122,-2.13203,cement
68,128,9,0,0,21.3333,5.95553,1.33333,0.844444,35.5926,32.1111,43.7778,30.8889,-10.4444,24.5556,-14.1111,43.7778,0.316177,-1.98185,cement
27,248,9,0.111111,0,1.61111,0.64693,3.16667,1.7224,15.2963,14.7778,12.8889,18.2222,-1.55556,-7.22222,8.77778,18.2222,0.312227,1.78351,grass
1,81,9,0,0,12.1667,267.456,9.22222,205.363,21.3333,14,30.5556,19.4444,-22,27.6667,-5.66667,30.5556,0.595282,-2.43841,foliage
119,196,9,0,0,2.66667,2.14994,1.38889,1.35674,53.3333,47.3333,65.6667,47,-18,37,-19,65.6667,0.293586,-2.07918,path
163,210,9,0,0,1.55556,0.544331,1.5,0.960324,11.8519,9.33333,8.88889,17.3333,-7.55556,-8.88889,16.4444,17.3333,0.48874,2.04373,grass
118,109,9,0,0.111111,3.55556,2.65553,4,3.08401,13.2963,7,22.3333,10.5556,-18.8889,27.1111,-8.22222,22.3333,0.694627,-2.34409,foliage
21,122,9,0,0,0.444444,0.403687,0.444444,0.403687,0.555556,0,1.22222,0.444444,-1.66667,2,-0.333333,1.22222,0.555556,-2.44456,foliage
